Handle,Vendor,Title,Body (HTML),Vendor.1,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status,Marcas usadas,Modelos usados,Cilindrajes usados,Detalles por tag
lente-de-velocimetro-c100-wave-caja-x-4-crown-1,800012130-1,"LENTE DE VELOCIMETRO C100 WAVE (CAJA X 4) ""CROWN""",,800012130-1,,Producto,"casa100, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1474.0,0.0,shopify,0.0,deny,manual,19096.0,,True,True,800012130-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Productos, Repuestos",NO,,"Productos, NO, Repuestos"
kit-pernos-catalina-x-10-und-ax-4-bolsa-x-5-crown,800012038-1,"KIT PERNOS CATALINA X 10 Und. AX-4 (BOLSA X 5) ""CROWN""",,800012038-1,,Producto,"casa100, Kit, Pernos, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1473.0,0.0,shopify,0.0,deny,manual,12996.0,,True,True,800012038-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Kit, Pernos, Productos, Repuestos","KIT, NO",,"Kit, KIT, Pernos, Productos, NO, Repuestos"
kit-pernos-catalina-ax-100-bolsa-x-5-crown,800012037-1,"KIT PERNOS CATALINA AX-100 (BOLSA X 5) ""CROWN""",,800012037-1,,Producto,"casa100, Kit, Pernos, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1472.0,0.0,shopify,0.0,deny,manual,9999.0,,True,True,800012037-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Kit, Pernos, Productos, Repuestos","KIT, NO",,"Kit, KIT, Pernos, Productos, NO, Repuestos"
kit-pernos-catalina-rx-115-bolsa-x-5-crown,100012040-1,"KIT PERNOS CATALINA RX-115 (BOLSA X 5) ""CROWN""",,100012040-1,,Producto,"casa100, Kit, Pernos, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1471.0,0.0,shopify,0.0,deny,manual,10874.0,,True,True,100012040-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Kit, Pernos, Productos, Repuestos","KIT, NO",,"Kit, KIT, Pernos, Productos, NO, Repuestos"
kit-pernos-catalina-eco-deluxe-bolsa-x-10-crown,100012022-1,"KIT PERNOS CATALINA ECO DELUXE (BOLSA X 10) ""CROWN""",,100012022-1,,Producto,"andina, casa800, Kit, Pernos, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1470.0,0.0,shopify,0.0,deny,manual,15860.0,,True,True,100012022-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Andina, Kit, Pernos, Productos, Repuestos","KIT, NO",,"Andina, Kit, KIT, Pernos, Productos, NO, Repuestos"
kit-tensor-guia-cadenilla-discover-125-st-crown-1,300012050-1,"KIT TENSOR GUIA CADENILLA DISCOVER-125 ST  ""CROWN""",,300012050-1,,Producto,"Cadenilla, casa100, Disco, Kit, productos no fabricados, repuestos, Tensor,",False,Title,Default Title,,,,,,,,1469.0,0.0,shopify,0.0,deny,manual,27557.0,,True,True,300012050-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Cadenilla, Disco, Kit, Productos, Repuestos, Tensor","KIT, NO",,"Cadenilla, Disco, Kit, KIT, Productos, NO, Repuestos, Tensor"
guia-cilindro-x-4-pcs-akt-125-bolsa-x-10-crown-1,100011674-1,"GUIA CILINDRO X 4 PCS AKT-125 (BOLSA X 10) ""CROWN""",,100011674-1,,Producto,"andina, casa800, Cilindro, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1468.0,0.0,shopify,0.0,deny,manual,12943.0,,True,True,100011674-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Andina, Cilindro, Productos, Repuestos",NO,,"Andina, Cilindro, Productos, NO, Repuestos"
guia-cilindro-x-4-pcs-boxer-bolsa-x-10-crown,100011673-1,"GUIA CILINDRO X 4 PCS BOXER (BOLSA X 10) ""CROWN""",,100011673-1,,Producto,"casa100, Cilindro, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1467.0,0.0,shopify,0.0,deny,manual,12996.0,,True,True,100011673-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Cilindro, Productos, Repuestos",NO,,"Cilindro, Productos, NO, Repuestos"
kit-flota-y-aguja-paso-gasolina-eco-deluxe-bolsa-x-5-crown,100012021-1,"KIT FLOTA Y AGUJA PASO GASOLINA ECO DELUXE (BOLSA X 5) ""CROWN""",,100012021-1,,Producto,"casa100, Kit, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1466.0,0.0,shopify,0.0,deny,manual,17505.0,,True,True,100012021-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Kit, Productos, Repuestos","KIT, NO",,"Kit, KIT, Productos, NO, Repuestos"
kit-flota-y-aguja-paso-gasolina-boxer-ct100-tec-bolsa-x-5-crown,100012020-1,"KIT FLOTA Y AGUJA PASO GASOLINA BOXER CT100 TEC (BOLSA X 5) ""CROWN""",,100012020-1,,Producto,"andina, casa800, Kit, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1465.0,0.0,shopify,0.0,deny,manual,17240.0,,True,True,100012020-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Andina, Kit, Productos, Repuestos","KIT, NO",,"Andina, Kit, KIT, Productos, NO, Repuestos"
