Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
comando-izquierdo-akt-150-evo-r3-crown,"COMANDO IZQUIERDO AKT-150 EVO R3 ""CROWN""",,100011118,,Producto,"andina, casa800, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,158,0.0,shopify,0,deny,manual,19250.00,,TRUE,TRUE,100011118,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-izquierdo-akt-125-evo-crown,"COMANDO IZQUIERDO AKT-125 EVO ""CROWN""",,100011117,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,157,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,100011117,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-izquierdo-fz-16-crown,"COMANDO IZQUIERDO FZ-16 ""CROWN""",,100011115,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,156,0.0,shopify,0,deny,manual,21300.00,,TRUE,TRUE,100011115,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-izquierdo-boxer-ct-100-tec-crown,"COMANDO IZQUIERDO BOXER CT 100 TEC ""CROWN""",,100011110,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,155,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,100011110,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-izquierdo-bws-100-crown,"COMANDO IZQUIERDO BWS-100 ""CROWN""",,100011109,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,154,0.0,shopify,0,deny,manual,24970.00,,TRUE,TRUE,100011109,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-izquierdo-rx-115-mn-crown,"COMANDO IZQUIERDO RX-115 MN ""CROWN""",,100011108,,Producto,"andina, casa800, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,153,0.0,shopify,0,deny,manual,19920.00,,TRUE,TRUE,100011108,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-izquierdo-akt-125-crown,"COMANDO IZQUIERDO AKT-125 ""CROWN""",,100011107,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,152,0.0,shopify,0,deny,manual,18220.00,,TRUE,TRUE,100011107,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-izquierdo-starter-cb-110-crown,"COMANDO IZQUIERDO (STARTER) CB-110 ""CROWN""",,100011106,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,151,0.0,shopify,0,deny,manual,17737.00,,TRUE,TRUE,100011106,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-izquierdo-starter-eco-deluxe-crown,"COMANDO IZQUIERDO (STARTER) ECO DELUXE ""CROWN""",,100011105,,Producto,"andina, casa800, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,150,0.0,shopify,0,deny,manual,20790.00,,TRUE,TRUE,100011105,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-izquierdo-patada-eco-deluxe-crown,"COMANDO IZQUIERDO (PATADA) ECO DELUXE ""CROWN""",,100011104,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,149,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,100011104,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-izquierdo-splendor-crown,"COMANDO IZQUIERDO SPLENDOR ""CROWN""",,100011103,,Producto,"andina, casa800, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,148,0.0,shopify,0,deny,manual,31450.00,,TRUE,TRUE,100011103,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-derecho-eco-100-crown,"COMANDO DERECHO ECO-100 ""CROWN""",,100011102,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,147,0.0,shopify,0,deny,manual,3100.00,,TRUE,TRUE,100011102,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-derecho-c100-wave-crown,"COMANDO DERECHO C100-WAVE ""CROWN""",,100011101,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,146,0.0,shopify,0,deny,manual,4950.00,,TRUE,TRUE,100011101,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-derecho-akt-110-crown,"COMANDO DERECHO AKT-110 ""CROWN""",,100011100,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,145,0.0,shopify,0,deny,manual,4970.00,,TRUE,TRUE,100011100,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-derecho-starter-eco-deluxe-crown,"COMANDO DERECHO (STARTER) ECO DELUXE ""CROWN""",,100011099,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,144,0.0,shopify,0,deny,manual,6100.00,,TRUE,TRUE,100011099,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-derecho-starter-cb-110-crown,"COMANDO DERECHO (STARTER) CB-110 ""CROWN""",,100011098,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,143,0.0,shopify,0,deny,manual,7100.00,,TRUE,TRUE,100011098,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
