Handle,Title,Body (HTML),Vendor,ORDEN,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
eje-pedal-arranque-boxer-ct-100tec-crown,"EJE PEDAL ARRANQUE BOXER CT-100TEC ""CROWN""",,800011500,#N/A,,Producto,"Andina, Eje, Ejes Pedal, Pedal, Pedales, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2396.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800011500,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
carburador-cb-110-crown,"CARBURADOR CB-110 ""CROWN""",,800010916,#N/A,,Producto,"Andina, Carburadores, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2395.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800010916,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
carburador-dt-125k-crown,"CARBURADOR DT-125K ""CROWN""",,800010914,#N/A,,Producto,"Andina, Carburadores, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2394.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800010914,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
carburador-bws-125-crown,"CARBURADOR BWS-125 ""CROWN""",,800010912,#N/A,,Producto,"Andina, Carburadores, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2393.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800010912,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
carburador-bws-100-crown,"CARBURADOR BWS-100 ""CROWN""",,800010911,#N/A,,Producto,"Andina, Carburadores, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2392.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800010911,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
carburador-crypton-115-crown,"CARBURADOR CRYPTON-115 ""CROWN""",,800010910,#N/A,,Producto,"Andina, Carburadores, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2391.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800010910,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
soporte-espejo-crypton-115-crown,"SOPORTE ESPEJO CRYPTON-115 ""CROWN""",,800012900,#N/A,,Producto,"Andina, Productos, Repuestos, Soportes",FALSE,Title,Default Title,,,,,,,,2390.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800012900,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
tensor-hidraulico-crypton-115-crown,"TENSOR HIDRAULICO ""CROWN"" CRYPTON-115",,800013074,1007,,Producto,"115, Andina, Crypton, Productos, Repuestos, Tensor, Tensor Hidráulico",TRUE,Title,Default Title,,,,,,,,2389.0,0.0,shopify,0,deny,manual,8700.00,,TRUE,TRUE,800013074,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800013074.1.jpg?v=1752167074,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
tensor-hidraulico-crypton-115-crown,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800013074_75a121de-0e18-4b1f-b343-1c175f3b527c.jpg?v=1752167074,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cadenilla-distribucion-pulsar-200ns-crown,"CADENILLA DISTRIBUCION PULSAR-200NS ""CROWN""",,800010835,#N/A,,Producto,"Andina, Cadenilla, Cadenillas, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2388.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800010835,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
