Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
valvula-admision-escape-discover-100m-crown-1,"VALVULA ADMISION/ESCAPE  DISCOVER-100M ""CROWN""",,200012065,,Producto,"andina, casa200, Disco, productos no fabricados, repuestos, Válvula",True,Title,Default Title,,,,,,,,2952.0,0.0,shopify,1.0,deny,manual,11350.0,,True,True,200012065,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200012065.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
filtro-de-aceite-pulsar-200ns-crown-1,"FILTRO DE ACEITE PULSAR-200NS ""CROWN""",,200011620,,Producto,"andina, casa200, Filtro, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,2911.0,0.0,shopify,482.0,deny,manual,3500.0,,True,True,200011620,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200011620.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
filtro-de-aceite-boxer-ct100-tec-crown,"FILTRO DE ACEITE BOXER CT100 TEC ""CROWN""",,200011615,,Producto,"andina, casa200, Filtro, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,2910.0,0.0,shopify,229.0,deny,manual,1950.0,,True,True,200011615,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200011615.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
eje-de-cambios-eco-deluxe-crown-2,"EJE DE CAMBIOS ECO DELUXE ""CROWN""",,200011480,,Producto,"andina, casa200, Eje, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,2903.0,0.0,shopify,0.0,deny,manual,12900.0,,True,True,200011480,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200011480.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
eje-abrebandas-trasero-boxer-crown-1,"EJE ABREBANDAS TRASERO  BOXER ""CROWN""",,200011473,,Producto,"andina, casa200, Eje, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,2902.0,0.0,shopify,864.0,deny,manual,2550.0,,True,True,200011473,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200011473.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
eje-abrebandas-delantero-boxer-crown-1,"EJE ABREBANDAS DELANTERO BOXER ""CROWN""",,200011472,,Producto,"andina, casa200, Eje, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,2901.0,0.0,shopify,960.0,deny,manual,2530.0,,True,True,200011472,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200011472.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
condensador-boxer-ct100-tec-crown,"CONDENSADOR BOXER CT100 TEC ""CROWN""",,200011210,,Producto,"andina, casa200, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,2896.0,0.0,shopify,649.0,deny,manual,2700.0,,True,True,200011210,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200011210.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
caucho-posapie-delantero-x-2-pcs-tvs-100-sport-crown,"CAUCHO POSAPIE DELANTERO X 2 PCS TVS-100 SPORT ""CROWN""",,200011010,,Producto,"andina, casa200, Caucho, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,2895.0,0.0,shopify,0.0,deny,manual,3600.0,,True,True,200011010,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200011010.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
caucho-campana-discover-135-crown-1,"CAUCHO CAMPANA  DISCOVER 135 ""CROWN""",,200010997,,Producto,"andina, Campana, casa200, Caucho, Disco, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,2894.0,0.0,shopify,796.0,deny,manual,3700.0,,True,True,200010997,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200010997.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
capuchon-bujia-eco-deluxe-starter-crown,"CAPUCHON BUJIA  ECO DELUXE STARTER ""CROWN""",,200010900,,Producto,"andina, Capuchón, casa200, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,2892.0,0.0,shopify,2532.0,deny,manual,1990.0,,True,True,200010900,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200010900.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
