Handle,Title,Body (HTML),Vendor,ORDEN,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
valvula-admision-escape-x-2-pcs-akt-125w-flex-crown,"91.0.800013365 VALVULA ADMISION ESCAPE X 2 PCS AKT-125W FLEX ""CROWN""",,800013365,,,Producto,"Andina, Productos, Repuestos, Válvulas Plus",False,Title,Default Title,,,,,,,,1200.0,0.0,shopify,0.0,deny,manual,9300.0,,True,True,800013365,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-admision-escape-x-2-pcs-cd-100-crown,"91.0.800013364 VALVULA ADMISION ESCAPE X 2 PCS CD-100 ""CROWN""",,800013364,1057.0,,Producto,"100, Andina, CD, Eco, NXG, Productos, Repuestos, Sleek, Splendor, Válvulas Plus",False,Title,Default Title,,,,,,,,1199.0,0.0,shopify,0.0,deny,manual,7850.0,,True,True,800013364,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-admision-escape-x-2-pcs-akt-150-crown,"91.0.800013361 VALVULA ADMISION ESCAPE X 2 PCS AKT-150 ""CROWN""",,800013361,1055.0,,Producto,"150, Akt, Andina, Productos, Repuestos, Sigma, Válvulas Plus",False,Title,Default Title,,,,,,,,1198.0,0.0,shopify,250.0,deny,manual,8900.0,,True,True,800013361,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-admision-escape-x-2-pcs-akt-125-crown,"91.0.800013359 VALVULA ADMISION ESCAPE X 2 PCS AKT-125 ""CROWN""",,800013359,,,Producto,"Andina, Productos, Repuestos, Válvulas Plus",False,Title,Default Title,,,,,,,,1197.0,0.0,shopify,0.0,deny,manual,9900.0,,True,True,800013359,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-admision-escape-x-2-pcs-cbf-125-crown,"91.0.800013355 VALVULA ADMISION ESCAPE X 2 PCS CBF-125 ""CROWN""",,800013355,,,Producto,"Andina, Productos, Repuestos, Válvulas Plus",False,Title,Default Title,,,,,,,,1196.0,0.0,shopify,0.0,deny,manual,9700.0,,True,True,800013355,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-admision-escape-x-2-pcs-cbf-150-crown,"91.0.800013353 VALVULA ADMISION ESCAPE X 2 PCS CBF-150 ""CROWN""",,800013353,,,Producto,"Andina, Productos, Repuestos, Válvulas Plus",False,Title,Default Title,,,,,,,,1195.0,0.0,shopify,0.0,deny,manual,9750.0,,True,True,800013353,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-admision-escape-x-2-pcs-boxer-crown,"91.0.800013345 VALVULA ADMISION ESCAPE X 2 PCS BOXER ""CROWN""",,800013345,,,Producto,"Andina, Productos, Repuestos, Válvulas Plus",False,Title,Default Title,,,,,,,,1194.0,0.0,shopify,0.0,deny,manual,9600.0,,True,True,800013345,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-admision-escape-x-2-pcs-gy6-150-crown,"91.0.800013340 VALVULA ADMISION ESCAPE X 2 PCS GY6-150 ""CROWN""",,800013340,,,Producto,"Andina, Productos, Repuestos, Válvulas Plus",False,Title,Default Title,,,,,,,,1193.0,0.0,shopify,0.0,deny,manual,9200.0,,True,True,800013340,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
torque-de-induccion-ax-100-crown,"90.0.800013200 TORQUE DE INDUCCION ""CROWN"" AX-100",,800013200,1017.0,,Producto,"100, Andina, AX, Productos, Repuestos, Torque, Torque Inducción",True,Title,Default Title,,,,,,,,1192.0,0.0,shopify,164.0,deny,manual,6950.0,,True,True,800013200,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800013200.1.jpg?v=1752167887,1.0,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
torque-de-induccion-ax-100-crown,nan.nan nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800013200.jpg?v=1752167887,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensor-hidraulico-discover-125st-crown,"89.0.800013083 TENSOR HIDRAULICO ""CROWN"" DISCOVER 125 ST",,800013083,1013.0,,Producto,"125, Andina, Disco, Discover, Productos, Repuestos, ST, Tensor, Tensor Hidráulico",False,Title,Default Title,,,,,,,,1191.0,0.0,shopify,299.0,deny,manual,9750.0,,True,True,800013083,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
