Handle,Codigo,Title,Grupo,Body (HTML),Vendor,Product Category,Type,Tags,Tags Formula,Tags v2,Formula,Tags v3,Formula,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
anillos-std-c-90-crown,800600170,"ANILLOS STD ""CROWN"" C-90",2,,800600170,,Producto,"ANILLOS, C-90","ANILLOS, C-90",ANILLOS,ANILLOS,C-90,C-90,TRUE,Title,Default Title,,,,,,,,800600170,0.0,shopify,98,deny,manual,9680.00,,TRUE,TRUE,800600170,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600170.jpg?v=1753256726,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-std-cb-1-cbf-125f-crown,800600145,"ANILLOS STD ""CROWN"" CB-1/ CB-125",2,,800600145,,Producto,"ANILLOS, CB-1,  CB-125","ANILLOS, CB-1,  CB-125",ANILLOS,ANILLOS,"CB-1,  CB-125",CB-1/ CB-125,TRUE,Title,Default Title,,,,,,,,800600145,0.0,shopify,140,deny,manual,10100.00,,TRUE,TRUE,800600145,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600145.jpg?v=1753256713,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-std-gixxer-150-crown,800600465,"ANILLOS STD ""CROWN"" GIXXER-150",2,,800600465,,Producto,"ANILLOS, GIXXER-150","ANILLOS, GIXXER-150",ANILLOS,ANILLOS,GIXXER-150,GIXXER-150,TRUE,Title,Default Title,,,,,,,,800600465,0.0,shopify,74,deny,manual,10900.00,,TRUE,TRUE,800600465,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600465.jpg?v=1753256706,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-50-discover-125-crown,800600202,"ANILLOS X 5 PCS 0,50 ""CROWN"" DISCOVER 125 +",2,,800600202,,Producto,"ANILLOS, DISCOVER 125 +","ANILLOS, DISCOVER 125 +",ANILLOS,ANILLOS,DISCOVER 125 +,DISCOVER 125 +,TRUE,Title,Default Title,,,,,,,,800600202,0.0,shopify,104,deny,manual,11120.00,,TRUE,TRUE,800600202,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600202.jpg?v=1753257791,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-25-akt-110-crown,800600002,"ANILLOS X5 PCS 0,25 ""CROWN"" AKT-110/SCOOTER-125",2,,800600002,,Producto,"ANILLOS, AKT-110, SCOOTER-125","ANILLOS, AKT-110, SCOOTER-125",ANILLOS,ANILLOS,"AKT-110, SCOOTER-125",AKT-110 / SCOOTER-125,TRUE,Title,Default Title,,,,,,,,800600002,0.0,shopify,356,deny,manual,8950.00,,TRUE,TRUE,800600002,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600002.jpg?v=1753257842,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-25-akt-125s-crown,800600011,"ANILLOS X5 PCS 0,25 ""CROWN"" AKT-125S/SL",2,,800600011,,Producto,"ANILLOS, AKT-125S","ANILLOS, AKT-125S",ANILLOS,ANILLOS,AKT-125S,AKT-125S,TRUE,Title,Default Title,,,,,,,,800600011,0.0,shopify,129,deny,manual,9950.00,,TRUE,TRUE,800600011,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600011.jpg?v=1753257837,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-25-ax-4-crown,800600441,"ANILLOS X5 PCS 0,25 ""CROWN"" AX-4/VIVA-R",2,,800600441,,Producto,"ANILLOS, AX-4, VIVA-R","ANILLOS, AX-4, VIVA-R",ANILLOS,ANILLOS,"AX-4, VIVA-R",AX-4/VIVA-R,TRUE,Title,Default Title,,,,,,,,800600441,0.0,shopify,51,deny,manual,8950.00,,TRUE,TRUE,800600441,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600441.jpg?v=1753257488,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-25-bws-100-crown,800600381,"ANILLOS X5 PCS 0,25 ""CROWN"" BWS-100/RX-100 MV/KW-100",2,,800600381,,Producto,"ANILLOS, BWS-100, RX-100 MV, KW-100","ANILLOS, BWS-100, RX-100 MV, KW-100",ANILLOS,ANILLOS,"BWS-100, RX-100 MV, KW-100",BWS-100 / RX-100 MV / KW-100,TRUE,Title,Default Title,,,,,,,,800600381,0.0,shopify,52,deny,manual,9476.00,,TRUE,TRUE,800600381,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600381.jpg?v=1753257497,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-25-bws-125-crown,800600387,"ANILLOS X5 PCS 0,25 ""CROWN"" BWS-125",2,,800600387,,Producto,"ANILLOS, BWS-125","ANILLOS, BWS-125",ANILLOS,ANILLOS,BWS-125,BWS-125,TRUE,Title,Default Title,,,,,,,,800600387,0.0,shopify,124,deny,manual,9380.00,,TRUE,TRUE,800600387,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600387.jpg?v=1753257495,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-25-cb-110-crown,800600131,"ANILLOS X5 PCS 0,25 ""CROWN"" CB-110/DREAM NEO 110",2,,800600131,,Producto,"ANILLOS, CB-110, DREAM NEO 110","ANILLOS, CB-110, DREAM NEO 110",ANILLOS,ANILLOS,"CB-110, DREAM NEO 110",CB-110 / DREAM NEO 110,TRUE,Title,Default Title,,,,,,,,800600131,0.0,shopify,6,deny,manual,8700.00,,TRUE,TRUE,800600131,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600131.jpg?v=1753257811,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
